gatsby,jay
caulfield,holden
humbert,humbert
bloom,leopold
angstrom,rabbit
holmes,sherlock
finch,atticus
bloom,molly
dedalus,stephen
bart,lily
golightly,holly
samsa,gregor
buendia,aureliano
dalloway,clarissa
reilly,ignatius
smiley,george
thomas,bigger
adams,nick
major,major
o'hara,scarlett
finch,scout
marlowe,philip
rondo,cosimo
pooh,winnie
matzerath,oskar
motes,hazel
portnoy,alex
bolling,binx
flyte,sebastian
henderson,eugene
pan,peter
mccrae,augustus
spade,sam
holden,judge
stark,willie
maturin,stephen
brodie,jean
merrill,neddy
peace,sula
barnes,jake
caulfield,phoebe
crawford,janie
shimerda,antonia
jimson,gulley
brother,big
ripley,tom
glass,seymour
moriarty,dean
charles,nora
charles,nick
bond,james
firmin,geoffrey
kinbote,charles
blackwood,mary
ryder,charles
ariza,florentino
babbitt,george
tietjens,christopher
addams,frankie
zuckerman,nathan
radley,arthur
chinaski,henry
zhivago,yuri
potter,harry
schlegel,margaret
dixon,jim
bendrix,maurice
small,lennie
pyle,alden
o'hara,kimball
archer,newland
griffiths,clyde
compson,quentin
marlow,charlie
march,augie
